"","x"
"230","@netflix clear to say with the recent final season news of @HouseofCards being done without @KevinSpacey that you‚Äôv‚Ä¶ https://t.co/hKHjCfmRvy"
"231","@KevinSpacey G'day. I know its none of my business but I hope ur ok. Thanku for entertaining me over the years ur o‚Ä¶ https://t.co/glQ1ZKhUiA"
"232","@AynRandPaulRyan @SunbonSmart With all due respect to #RobinWright, no one is going to watch without @KevinSpacey.‚Ä¶ https://t.co/TYO9f97m6r"
"233","@DebraMessing Scientology 100 percent it is disgusting! @netflix let @KevinSpacey go and cancelled @HouseofCards wh‚Ä¶ https://t.co/gNeIMGfT4p"
"234","@ABC This means that House of Cards is over it will be the same without Kevin Spacey.  Ì†ºÌ∑∫Ì†ºÌ∑∏ @abc @KevinSpacey"
"235","@KevinSpacey Take care and forgive yourself"
"236","@KevinSpacey You are the best actor ever !"
"237","@RealRobinWright @ONECampaign No public comment on alleged sexual predator @KevinSpacey? Why?"
"238","@HouseofCards will mean NOTHING without @KevinSpacey.  Wright is out of her depth in this series. 

Good luck! Won‚Äô‚Ä¶ https://t.co/WhMivNeufR"
"239","@netflix a bit of hypocrisy giving that creepy motherfucker from Voyeur a platform while cancelling @HouseofCards b‚Ä¶ https://t.co/RUEF9xpt7v"
"240","@gayboybible Oh he's  #BryanSinger suffering from #PTSD alright. I'm sure he's got a strange feeling walls are star‚Ä¶ https://t.co/7VYEsQbekx"
"241","@netflix @KevinSpacey *Final season"
"242","@ReasonsImBroke @PalpaKelli @HouseofCards @KevinSpacey @netflix Sorry Robin. ‚úå"
"243","@kevinspacey Kevin Spacey 'sex behavior' with young actor shot down Usual Suspects @gabrielbyrne
 https://t.co/miXae02KKi"
"244","@kevinspacey House Of Cards will restart production early 2018 after Spacey scandal @HouseofCards @netflix
 https://t.co/dAYv1vAFcw"
"245",".@HouseofCards season 6 won‚Äôt be the same without @KevinSpacey but I know @RealRobinWright will make a great lead r‚Ä¶ https://t.co/PdgzMv8Rvk"
"246","@KevinSpacey I won't watch nor buy House of Cards anymore if it's without you, I will stick with you, it's a pity t‚Ä¶ https://t.co/IPDPDU4kyV"
"247","@BC1 @netflix @KevinSpacey really sad"
"248","@NPR Why just one more season? Why do we have to lose an awesome show because @KevinSpacey can't behave?"
"249","A reminder: No matter what awful or embarrassing things @KevinSpacey or #BryanSinger do, #StephenBaldwin will alway‚Ä¶ https://t.co/KifRCaGiXF"
"250","A House of Cards season without @KevinSpacey ... Put it in your ass!"
"251","#WomenPower @RealRobinWright @netflix to air a final season of @HouseofCards without @KevinSpacey who has been accu‚Ä¶ https://t.co/kcMG9btOSe"
"252","New Character: Bobby E. Leighmore the long-time Senator from Idaho who has recently developed a severe studder. Use‚Ä¶ https://t.co/sP4JoGycuw"
"253","Retweeted Michael King (@mhking):

.@HouseOfCards to resume production in early 2018 without @KevinSpacey... https://t.co/sKL8jKJ9tn"
"254","@GylesB1 Did they airbrush @KevinSpacey out of that one?"
"255","Well, can't we love Frank Underwood, while hating .@KevinSpacey at the same time, for his sexual misconduct?
To me‚Ä¶ https://t.co/ajkAVmErSi"
"256","@KevinSpacey True fans are boycotting all the money in the world"
"257","@spiritels @wisdomcbs @jeremypiven @KevinSpacey @HarveyWeinstein okay Bellamar... folks find the truth here https://t.co/g29f3kpmkX"
"258",".@HouseOfCards to resume production in early 2018 without @KevinSpacey https://t.co/wS1w0jeNNC https://t.co/JJVWCsrv6d"
"259","@KevinSpacey has been the center of @HouseofCards. @netflix Ì†ΩÌπÅ we should be at least able to vote."
"260","Final ""House of Cards"" season will go forward with @RobinWright as its lead. Too bad for you @kevinspacey! https://t.co/vgmtWfgmgJ"
"261","I do not care what @KevinSpacey did, @HouseofCards , without @KevinSpacey it will not be the same.
I do not care wh‚Ä¶ https://t.co/JY1eR4AxIY"
"262","@MeganNewtone @LeafyIsHere @KevinSpacey @nickjonas @JamesBlunt Solid 1000 xo"
"263","Rate my tits out of 10 

@LeafyIsHere @KevinSpacey @nickjonas @JamesBlunt https://t.co/qs9DtbWCGX"
"264","@wisdomcbs @jeremypiven @KevinSpacey @HarveyWeinstein All Pig Asshats who can‚Äôt keep hands to themselves &amp; their ju‚Ä¶ https://t.co/dfluBq3V9T"
"265","Wanna bet Frank takes a bullet in Episode 1?
@netflix will film final House of Cards with @RealRobinWright the only‚Ä¶ https://t.co/eM47raWHiK"
"266",".@Netflix to finalize #HouseOfCards with 8th season, without @KevinSpacey https://t.co/ANmrn2rJt2 https://t.co/SFgrYCpBlG"
"267","Sorry, but I won't watch this show without @KevinSpacey . #HouseOfCards https://t.co/0ixtARvReW"
"268","#HouseOfCards without @KevinSpacey, what a disaster ! https://t.co/eNBF3Byecd"
"269","‚Äò.@HouseofCards ‚Äô to resume taping minus star @KevinSpacey https://t.co/kCAsApn2sE https://t.co/pOCSqJBnsz"
"270","@KevinSpacey keep Gore Vidal‚Äôs name out of your mouth"
"271","#HouseOfCards: 1-small step #4Women, 1-giant step #4ManKind
#NetFlix SHOWS @GOP even main characters are dispensabl‚Ä¶ https://t.co/RdEH2FXTlg"
"272","House of Cards @KevinSpacey  ... F U   @NetflixDE"
"273","@KevinSpacey YOUR CAREER IS NOW OVER Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç"
"274","@PodestaMolestYa @KevinSpacey No thanks!@netflix don‚Äôt waste your money"
"275",".@houseofcards is returning, without @kevinspacey. https://t.co/8QigL7mIcf #Houseofcards #KevinSpacey #Netflix"
"276",".@RealRobinWright will lead @HouseofCards‚Äô sixth season without @KevinSpacey. https://t.co/1NAVKQmlc9 https://t.co/DiNNDxfS0I"
"277","I‚Äôm 14 and a virgin please rape me @KevinSpacey"
"278",".@houseofcards is returning, without @kevinspacey. https://t.co/XD8VQitTCt #HouseofCards #Netflix"
"279","Despite previously honoring @charlierose and hosting @KevinSpacey, @Georgetown has yet to release any official or p‚Ä¶ https://t.co/I529J5jq8R"
"280","@NPR The ratings would skyrocket with @KevinSpacey Ì†ºÌΩåÌ†ºÌΩÜÌ†ºÌΩåÌ†ºÌΩÜÌ†ºÌΩ¢Ì†ºÌΩ©Ì†ΩÌ∫ÄÌ†ΩÌ∫ÄÌ†ΩÌ∫ÄÌ†ΩÌ∫ÄÌ†ΩÌ∫ÄÌ†ΩÌ∫ÄÌ†ΩÌ∫ÄÌ†ΩÌ∫ÄÌ†ΩÌ∫ÄÌ†ΩÌ∫ÄÌ†ΩÌ∫ÄÌ†ΩÌ∫ÄÌ†ΩÌ∫Ä"
"281","@680CJOB @netflix @KevinSpacey Too bad Kevin Spacey ruined it for himself and him fans.  He is a great actor and perfect on the show."
"282","@CKNW @netflix @KevinSpacey The show is over @netflix. Call it a wrap."
"283","@KevinSpacey #iStandWithHim False and exaggerated accusations are the new trend and not just in hollywood. I stand with Spacey."
"284",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/63yBFV86hU"
"285",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/8imSpH56Sm"
"286",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/cvnAsVnuFj"
"287",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/fW88r8c8XJ"
"288",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/Uy3wnf6lxr"
"289",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/yddHL1GtLh"
"290",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/CltFiIRqoG"
"291",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/z7xG34cZ4B"
"292",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/QLichpBphs"
"293",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/7edV0vwdIT"
"294",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/GYiXzkNitP"
"295",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/GMtDCVgG4c"
"296",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/rnGAdmp0kG"
"297",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/I6QzqxUDPc"
"298",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/w6RvV3X0p4"
"299",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/DubcjsJRbb"
"300",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/YK5Kxd0vP1"
"301",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/4z7rEVLSN7"
"302",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/oha8xf0ldj"
"303",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/1cWQTVzLLG"
"304",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/frFssjVzfA"
"305",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/iX2r15Oz61"
"306",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/dP3Njo6sbh"
"307",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/JTHj5xMt3J"
"308",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/pxnDBRqjIF"
"309",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/foSW5BVLBz"
"310",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/Vq6JJFxGTa"
"311",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/uUxRfN4L6F"
"312",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/5MnylJ3W40"
"313",".@netflix said it wouldn‚Äôt be involved with #HouseOfCards if @KevinSpacey remained amid sexual misconduct allegatio‚Ä¶ https://t.co/thdIZLBoKH"
"314","glad to see the show go one, but it won't last without @KevinSpacey - he is the show. https://t.co/ohSMiuSeK5"
"315","@KevinSpacey is innocent."
"316","@KevinSpacey you sick ass pig !"
"317",".@RealRobinWright to lead final season of @Netflix‚Äôs ‚ÄòHouse of Cards‚Äô without @KevinSpacey: https://t.co/WhHPA75304"
"318","@KevinSpacey made @HouseofCards what it is today and he won't be seen in the final season. Tough decision let's see‚Ä¶ https://t.co/ngLCFw7dOd"
"319","@KevinSpacey oh my what a creep you are."
"320","The Usual Suspects and Seven both surprise endings are now ruined-thanks to @KevinSpacey. It would be cool is they‚Ä¶ https://t.co/LFxTSxjmou"
"321","""House Of Cards"" Season 6 will officially continue without @KevinSpacey 
https://t.co/jqFpCGo2aC https://t.co/TQ80txT3t4"
"322","@NetflixUK @netflix without @KevinSpacey you have no audience for @HouseofCards #innocent until proven #Guilty"
"323",".@HouseofCards production to resume without @KevinSpacey https://t.co/dtaE5Lo2aG https://t.co/dU0P3OlfSo"
"324","@ALT_uscis @IvankaTrump Yeah, not going to be the same without @KevinSpacey I ain't watching anymore..."
"325","@KevinSpacey    You, for me, remain one of the most extraordinary actors in the world and a great handsome man, extremely sexy and hot!"
"326","@RealRobinWright sad to see @KevinSpacey depart from the show, but HELL did you do a great job in the last season! https://t.co/1hmeTcqbPC"
"327","@netflix The way to get rid of @KevinSpacey is to have him die of auto-erotic asphyxiation.  It would be a just and fitting end #MAGA Ì†ΩÌ∏éÌ†ΩÌ±ç"
"328","#Netflix confirma #HouseOfCards 6 sin Kevin Spacey (@KevinSpacey) https://t.co/l2e9Ou4Zzo"
"329","#Netflix confirma #HouseOfCards 6 sin Kevin Spacey (@KevinSpacey) https://t.co/SmGARG8W3Y"
"330","@netflix @HouseofCards predicted ratings now that @KevinSpacey is not in Season 6 https://t.co/GQ4byZCj07 https://t.co/BSn57YI0Dg"
"331","@PalpaKelli @macdamurderer @HouseofCards @KevinSpacey @netflix Especially since now the story will be completely ch‚Ä¶ https://t.co/M3v2VqBNkf"
"332","@netflix  save your money and just cancel @HouseofCards doing the show without @KevinSpacey is like doing Superman without Superman"
"333","Nice set paps, @KevinSpacey https://t.co/2qrRUwGGYl"
"334","House of Cards just won't be the same without @KevinSpacey. Was a huge fan but there's no point in watching it anymore. #HouseOfCards"
"335","@KevinSpacey Wow, from hero to zero......."
"336","Too Soon?

#LGBTQ
#NAMBLA

@KevinSpacey https://t.co/nA1KuEYTbE"
"337","@ReasonsImBroke @macdamurderer @HouseofCards @KevinSpacey @netflix The show won't be the same without him! Ì†ΩÌ∏≠"
"338","@netflix, it's disgusting that you pat yourselves on the back for cutting ties with @KevinSpacey and @realLouisCK,‚Ä¶ https://t.co/S3LjbRY5HA"
"339","@KevinSpacey is heading to spearhead #Brexit negotiations unfortunately @HouseofCards #ByeBabe"
"340","Except @KevinSpacey is mainly why I watch Ì†ΩÌ∏≠ https://t.co/0uokeOfdbc"
"341","@EyeGotYourBitch @KevinSpacey @elijahwood Weak."
"342",".@PalpaKelli @macdamurderer I love Robin on @HouseofCards, but not without @KevinSpacey Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠
Give us Zack Snyder's c‚Ä¶ https://t.co/b5bz0odhfp"
"343","Yo @netflix why was @KevinSpacey fired from HOC but nothing has happened to @dannymasterson? Which Scientologist execs have gotten to you?"
"344","@EyeGotYourBitch @KevinSpacey @elijahwood Wait, Elijah Wood?!"
"345","@ElizabethleaVos Stop spreading vicious lies.  There are absolutely *no* allegations that @KevinSpacey ever ""abused"" any ""children""."
"346","OMG. I just realized I was in a movie with @KevinSpacey and now I want to VOMIT Ì†æÌ¥¢Ì†æÌ¥Æ. I hearby denounce my 15 minutes‚Ä¶ https://t.co/1X9I6kErly"
"347","Cutting @KevinSpacey from House of Cards is like removing that one card that holds everything together. With the mo‚Ä¶ https://t.co/X80nDrbUNo"
"348","@FoxBusiness W/o @KevinSpacey the show will suck lmao. Im done watching it."
"349","So @KevinSpacey won‚Äôt be in @HouseofCards season 8 because of his allegations. Way to ruin a show, asshole."
"350","We crucify @KevinSpacey but continue to elect #RoyMoore. This is crazy. 

All sexual abuse is WRONG."
"351","Don't get me wrong I'm still a fan. And can't wait too see season six but damn daddddy @KevinSpacey was a brutal br‚Ä¶ https://t.co/evT6xGUzeb"
"352","Who should be the one to kill Frank Underwood on the next season of the @KevinSpacey-less @HouseofCards?"
"353",".@HouseofCards will resume without .@KevinSpacey: https://t.co/lEVFpCdJov #fox44tx https://t.co/ggrv2UlTYy"
"354","Whitout @KevinSpacey ...? Ì†æÌ¥® https://t.co/JR2SwFWuJi"
"355","@ayanahaviv @RealRobinWright @KevinSpacey @JBealMusic I couldn‚Äôt agree more!"
